Address,dragon_count,Balance
juno16rh40g56w6ypk8kmslkgfl7a35mze0zsdnrsf5,5,1910
juno1mwm6fh3d495wqzjvkxeglpg4l8jtsyr2ukyymx,1,608
juno1l3hvxfhwdq603lt24az4eq88guksr0fdjpk6cu,1,605
juno15pks8v7a7vy5y0ya6l5jgwwp3pxgrayh25wx4e,3,1073
juno1dg7e9d3wlfjwevl4zd2rt7turd9u6grs20rfyj,1,605
juno1zqhlrhc9k5delwltcnr6u2cuvtszd7a5dvswru,2,680
juno130p3qtmtsquak0x68njgd4l8mqlejexjhp480g,2,505
juno10arenawv4p23x5w5zkzme77cgq3hm6ph0mrxc2,2,608
juno1j4z3ekukntuxay0vm030mvujne5t9u43x0tz46,3,1060
juno162en8rzdr8cz9vz4xpsm8rjs4ujjg8422l5yen,1,585
juno1mwxsz2nh3sagjr8tdgfmw72gzqmp23vn2nrwjj,6,1034
juno1g3mhhfh5npysxrsv3gqw7r00arksk5xpymgxyt,5,736
juno1eh943mh69v6vpz3zgznlewlj37vmzmnwrg6avk,1,548
juno1puhv56dxvuea7nfmg7sxl9rp3cl7qr0py2vyps,12,1520
juno1jsl5cs098lj37nf4h0d7durf20ajjnw2tzgynd,2,699
juno1dpltqq0vx52vkarvy07rjer92thkufgt4hx4jd,1,551
juno194ss0mytjxpf6fmsjrgfn8ly8g4fuy3znwn7d8,3,620
juno1mxmgq54qy6pa38t7sgrxesc884jnm0pw4dzlgv,1,552
juno18fvt4pg9mlf77p70ps20fpg4xcvgfhhunmpkvk,3,875
juno1fvd5ch4qwkawkeeury4eh857djrmx30nkv072y,12,1365
juno1mlqymygm837ka2pcd3ln6hffsvtfapm9jrlaen,5,628
juno1jlwwxxkz6crealj0asve9kt07y55qyv70xvc0q,3,684
juno1phnz0hhvexfqqqk0fafzj34y9ra40jffhl206a,3,911
juno1kstdduh0d9ykw0d0qjua3n236k27rtcvyrcmqm,9,1309
juno1w7rnldwru2p702nujkrfdf8204nswqjy0g0wrc,11,2780
juno183tjjupfld4xy8z5fgp3jux6zl0yzwrskfsgfn,9,931
juno1na96jft9gfmkzrvn8yv3gx5jt4jkjrap8gdv6l,3,572
juno16lnd8nj90u8nuudxwzrexrrxfrxga226c8cgfj,2,569
juno1g03qlthqvc5ewl3553kanh262jlkn4uazpf2cx,4,754
juno1lvtjp22lrr0fq3nj9aes7mdcqcfstpxh4hzavd,8,1564
